delivery_id,customer_id,jumpman_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_Jumpman_arrived_at_pickup,when_the_Jumpman_left_pickup,when_the_Jumpman_arrived_at_dropoff,start - dropoff,as the bird flies distance,wasted time (leftpickup - started - howlong),Delivery Minutes
1274328,255435,23359,bicycle,Lure Fishbar,Seafood,Big Eye Tuna,6,Sushi & Sashimi,11:23.1,40.72463457,-73.99840236,40.7435682,-73.9724053,10/1/14 5:47 PM,10/1/14 5:44 PM,10/1/14 6:21 PM,10/1/14 6:41 PM,0.037494167,0.032160988,0:22,20
1274328,255435,23359,bicycle,Lure Fishbar,Seafood,King Salmon,3,Sushi & Sashimi,11:23.1,40.72463457,-73.99840236,40.7435682,-73.9724053,10/1/14 5:47 PM,10/1/14 5:44 PM,10/1/14 6:21 PM,10/1/14 6:41 PM,0.037494167,0.032160988,0:22,20
1274353,76150,128256,bicycle,Citarella,,,,,,40.77191392,-73.95900894,40.75525101,-73.96452966,10/1/14 5:55 PM,10/1/14 5:58 PM,10/1/14 6:17 PM,10/1/14 6:28 PM,0.023484514,0.017553657,0:22,11
1274370,42424,91932,bicycle,Han Dynasty,Chinese,Wontons in Chili Oil,1,Hot Appetizers,04:42.1,40.732213,-73.988072,40.737718,-73.982058,10/1/14 5:57 PM,10/1/14 6:24 PM,10/1/14 6:29 PM,10/1/14 6:34 PM,0.025330671,0.008153111,0:27,4
1274372,82041,133293,bicycle,Parm,Italian,Meatball Parm,1,Sandwiches,02:31.5,40.72301983,-73.995854,40.720479,-74.001549,10/1/14 5:57 PM,10/1/14 5:57 PM,10/1/14 6:09 PM,10/1/14 6:20 PM,0.015633171,0.00623609,0:9,10
1274372,82041,133293,bicycle,Parm,Italian,Chicken Parm,1,Sandwiches,02:31.5,40.72301983,-73.995854,40.720479,-74.001549,10/1/14 5:57 PM,10/1/14 5:57 PM,10/1/14 6:09 PM,10/1/14 6:20 PM,0.015633171,0.00623609,0:9,10
1274380,130507,139760,car,Jack's Wife Freda,Mediterranean,Chopped Salad,1,Sides,03:40.0,40.72198995,-73.9977479,40.74184,-74.002787,10/1/14 5:59 PM,10/1/14 6:00 PM,10/1/14 6:18 PM,10/1/14 6:32 PM,0.023196262,0.020479674,0:15,13
1274432,345798,32580,bicycle,Yama Japanese Restaurant,Japanese,Spicy Tuna,3,Rolls,09:38.5,40.73587229,-73.98766462,40.789449,-73.9541161,10/1/14 6:09 PM,10/1/14 6:11 PM,10/1/14 6:38 PM,10/1/14 7:05 PM,0.039068264,0.063213661,0:19,26
1274438,355090,153113,bicycle,Shake Shack,Burger,Fries,1,Fries,,40.78082577,-73.97648335,40.7635727,-73.9735026,10/1/14 6:12 PM,10/1/14 6:30 PM,10/1/14 6:52 PM,10/1/14 7:16 PM,0.044394433,0.017508666,0:39,24
1274468,95986,151467,bicycle,McDonald's,Fast Food,,,,,40.77793967,-73.95470974,40.7843365,-73.9539073,10/1/14 6:17 PM,10/1/14 6:18 PM,10/1/14 6:34 PM,10/1/14 6:42 PM,0.017353495,0.006446962,0:16,8
1274483,143721,119839,bicycle,Hummus Place,Middle Eastern,Hummus Mushrooms,1,Main,04:17.7,40.732351,-74.003505,40.7451708,-73.9952138,10/1/14 6:22 PM,10/1/14 6:24 PM,10/1/14 6:35 PM,10/1/14 6:46 PM,0.017022697,0.015267327,0:9,11
1274483,143721,119839,bicycle,Hummus Place,Middle Eastern,Health Salad,1,Soup & Salad,04:17.7,40.732351,-74.003505,40.7451708,-73.9952138,10/1/14 6:22 PM,10/1/14 6:24 PM,10/1/14 6:35 PM,10/1/14 6:46 PM,0.017022697,0.015267327,0:9,11
1274514,156218,38652,bicycle,RedFarm Hudson,Chinese,Mushroom & Vegetable Spring Rolls (2),1,Dim Sum,09:09.5,40.73421385,-74.00620203,40.7320667,-73.998014,10/1/14 6:26 PM,,,10/1/14 7:21 PM,0.038234826,0.008464874,#NUM!,#N/A
1274513,40086,118659,walker,Les Halles,Steak,Hamburger Rossini,1,Dejeuner La Grillade,08:01.3,40.74364391,-73.98388825,40.774598,-73.98027,10/1/14 6:26 PM,10/1/14 6:40 PM,10/1/14 6:51 PM,10/1/14 7:27 PM,0.041876655,0.03116484,0:16,35
1274594,183520,112257,bicycle,Blue Ribbon Sushi,Japanese,California,1,Maki (Special Rolls),03:12.2,40.72610966,-74.00249186,40.7324282,-74.0080594,10/1/14 6:38 PM,,,10/1/14 7:13 PM,0.023886736,0.008421487,#NUM!,#N/A
1274594,183520,112257,bicycle,Blue Ribbon Sushi,Japanese,Sashimi Deluxe,1,Platters,03:12.2,40.72610966,-74.00249186,40.7324282,-74.0080594,10/1/14 6:38 PM,,,10/1/14 7:13 PM,0.023886736,0.008421487,#NUM!,#N/A
1274598,310051,22502,bicycle,Parm,Italian,String Beans Oreganata,1,Vegetables,04:17.3,40.72301983,-73.995854,40.74095229,-73.98122992,10/1/14 6:39 PM,,,10/1/14 7:10 PM,0.021946238,0.023139511,#NUM!,#N/A
1274600,78067,151761,bicycle,Parm,Italian,Baked Ziti,1,Sides,04:17.0,40.72301983,-73.995854,40.7057022,-74.0140581,10/1/14 6:40 PM,10/1/14 6:46 PM,10/1/14 6:59 PM,10/1/14 7:16 PM,0.025009734,0.025125473,0:14,17
1274612,39976,20962,walker,Teavana,,,,,,40.78511368,-73.97904575,40.7671653,-73.9683133,10/1/14 6:41 PM,,,10/1/14 7:53 PM,0.050043125,0.020912432,#NUM!,#N/A
1274627,77378,57186,bicycle,Postmates Liquor Store,Shop,Don Julio Reposado (750ml),2,Tequila,,40.779598,-73.947388,40.764912,-73.9633962,10/1/14 6:44 PM,10/1/14 6:50 PM,10/1/14 6:55 PM,10/1/14 7:10 PM,0.018120995,0.021724205,0:11,14
1274626,97370,32580,bicycle,Just Salad,Salad,,,,,40.77690175,-73.95509005,40.7707617,-73.9644857,10/1/14 6:45 PM,10/1/14 7:14 PM,10/1/14 7:29 PM,10/1/14 7:38 PM,0.037237234,0.011224018,0:44,9
1274637,276883,139760,car,Blue Ribbon Sushi Izakaya,Japanese,Ebi Tempura,1,Maki,05:07.0,40.72197958,-73.98814821,40.72929674,-73.97924837,10/1/14 6:47 PM,10/1/14 6:59 PM,10/1/14 7:30 PM,10/1/14 7:38 PM,0.035722708,0.011521638,0:38,7
1274659,117810,31859,bicycle,Momoya,Sushi,Spicy Tuna,1,Roll,04:23.5,40.78407726,-73.97762241,40.7843123,-73.951934,10/1/14 6:49 PM,10/1/14 7:14 PM,10/1/14 7:21 PM,10/1/14 7:38 PM,0.033563056,0.025689485,0:27,16
