,,,,
"Census Counts, 2010",,,,
,,,,
Borough,Sex,Race/Ethnicity,Age Group,Population
Bronx,Female,"Asian/Pacific Islander, non-Hispanic",Less than 1,325
Bronx,Female,"Asian/Pacific Islander, non-Hispanic",1-4 yr,"1,238"
Bronx,Female,"Asian/Pacific Islander, non-Hispanic",5-9 yr,"1,505"
Bronx,Female,"Asian/Pacific Islander, non-Hispanic",10-11 yr,558
Bronx,Female,"Asian/Pacific Islander, non-Hispanic",12-14 yr,829
Bronx,Female,"Asian/Pacific Islander, non-Hispanic",15-17 yr,870
Bronx,Female,"Asian/Pacific Islander, non-Hispanic",18-19 yr,631
Bronx,Female,"Asian/Pacific Islander, non-Hispanic",20-24 yr,"1,717"
Bronx,Female,"Asian/Pacific Islander, non-Hispanic",25-29 yr,"2,326"
Bronx,Female,"Asian/Pacific Islander, non-Hispanic",30-34 yr,"2,245"
Bronx,Female,"Asian/Pacific Islander, non-Hispanic",35-39 yr,"1,924"
Bronx,Female,"Asian/Pacific Islander, non-Hispanic",40-44 yr,"1,760"
Bronx,Female,"Asian/Pacific Islander, non-Hispanic",45-49 yr,"1,707"
Bronx,Female,"Asian/Pacific Islander, non-Hispanic",50-54 yr,"1,724"
Bronx,Female,"Asian/Pacific Islander, non-Hispanic",55-59 yr,"1,492"
Bronx,Female,"Asian/Pacific Islander, non-Hispanic",60-64 yr,"1,259"
Bronx,Female,"Asian/Pacific Islander, non-Hispanic",65-69 yr,900
Bronx,Female,"Asian/Pacific Islander, non-Hispanic",70-74 yr,584
Bronx,Female,"Asian/Pacific Islander, non-Hispanic",75-79 yr,428
Bronx,Female,"Asian/Pacific Islander, non-Hispanic",80-84 yr,250
Bronx,Female,"Asian/Pacific Islander, non-Hispanic",85+ yr,177
Bronx,Female,"Other races, non-Hispanic",Less than 1,253
Bronx,Female,"Other races, non-Hispanic",1-4 yr,894
Bronx,Female,"Other races, non-Hispanic",5-9 yr,"1,113"
Bronx,Female,"Other races, non-Hispanic",10-11 yr,441
Bronx,Female,"Other races, non-Hispanic",12-14 yr,655
Bronx,Female,"Other races, non-Hispanic",15-17 yr,725
Bronx,Female,"Other races, non-Hispanic",18-19 yr,457
Bronx,Female,"Other races, non-Hispanic",20-24 yr,"1,200"
Bronx,Female,"Other races, non-Hispanic",25-29 yr,"1,086"
Bronx,Female,"Other races, non-Hispanic",30-34 yr,"1,135"
Bronx,Female,"Other races, non-Hispanic",35-39 yr,"1,002"
Bronx,Female,"Other races, non-Hispanic",40-44 yr,"1,105"
Bronx,Female,"Other races, non-Hispanic",45-49 yr,"1,157"
Bronx,Female,"Other races, non-Hispanic",50-54 yr,"1,018"
Bronx,Female,"Other races, non-Hispanic",55-59 yr,747
Bronx,Female,"Other races, non-Hispanic",60-64 yr,653
Bronx,Female,"Other races, non-Hispanic",65-69 yr,461
Bronx,Female,"Other races, non-Hispanic",70-74 yr,323
Bronx,Female,"Other races, non-Hispanic",75-79 yr,221
Bronx,Female,"Other races, non-Hispanic",80-84 yr,157
Bronx,Female,"Other races, non-Hispanic",85+ yr,159
Brooklyn,Male,"White, non-Hispanic",Less than 1,"7,652"
Brooklyn,Male,"White, non-Hispanic",1-4 yr,"26,063"
Brooklyn,Male,"White, non-Hispanic",5-9 yr,"26,992"
Brooklyn,Male,"White, non-Hispanic",10-11 yr,"9,524"
Brooklyn,Male,"White, non-Hispanic",12-14 yr,"13,965"
Brooklyn,Male,"White, non-Hispanic",15-17 yr,"14,101"
Brooklyn,Male,"White, non-Hispanic",18-19 yr,"9,307"
Brooklyn,Male,"White, non-Hispanic",20-24 yr,"31,590"
Brooklyn,Male,"White, non-Hispanic",25-29 yr,"42,956"
Brooklyn,Male,"White, non-Hispanic",30-34 yr,"40,011"
Brooklyn,Male,"White, non-Hispanic",35-39 yr,"32,767"
Brooklyn,Male,"White, non-Hispanic",40-44 yr,"26,514"
Brooklyn,Male,"White, non-Hispanic",45-49 yr,"25,188"
Brooklyn,Male,"White, non-Hispanic",50-54 yr,"25,447"
Brooklyn,Male,"White, non-Hispanic",55-59 yr,"24,889"
